column,tau,dimension
Lab1_G1_N3,3,4
Lab1_G2_Fн9,3,5
Lab1_G2_Fc3,3,7
Lab1_G1_N1,26,5
Lab1_G1_N2,14,6
Lab1_G2_3F2,3,5
Lab1_G1_T4ср,51,5
Lab1_G3_T606,24,9
Lab1_Qtg,15,7
Lab1_G2_2F2,2,6
Lab1_G2_VoГГ,10,7
Lab1_G3_T600,22,8
Lab1_G4_N1пр,4,6
Lab1_Ttg,66,3
Lab1_PposleNag,2,7
Lab1_dev,4,5
Lab1_G3_Pc2,18,9
Lab1_TC_Ptgdg,14,7
Lab1_dPmg,5,3
Lab1_Hpol,2,10
Lab1_G1_T1,33,6
Lab1_G1_T600,37,8
Lab1_G1_T638,31,7
Lab1_G4_delta_T4PR,28,5
Lab1_G4_delta_T4,18,6
Lab1_TC_Tm,54,9
Lab1_G3_Турбина_ГГ,16,4
Lab1_G1_T607,14,3
Lab1_TposleNag,2,3
Lab1_G3_Коксование,13,3
Lab1_TdoNag,4,4
