TS,Lab1_G1_N3,Lab1_G2_Fн9,Lab1_G2_Fc3,Lab1_G3_Турбина_ГГ,Lab1_G1_N1,Lab1_G1_N2,Lab1_G2_3F2,Lab1_G1_T4ср,Lab1_G3_T606,Lab1_Qtg,Lab1_G1_T607,Lab1_G2_2F2,Lab1_G2_VoГГ,Lab1_G3_T600,Lab1_G4_N1пр,Lab1_Ttg,Lab1_PposleNag,Lab1_TposleNag,Lab1_dev,Lab1_G3_Pc2,Lab1_G3_Коксование,Lab1_TC_Ptgdg,Lab1_dPmg,Lab1_Hpol,Lab1_TdoNag,Lab1_G1_T1,Lab1_G1_T600,Lab1_G1_T638,Lab1_G4_delta_T4PR,Lab1_G4_delta_T4,Lab1_TC_Tm
2022-12-02 18:59:59.999998+00:00,5000,0.19,0.31,0.0,8726,11490,0.6,662.7,0.0,4656,36.1,0.38,8.9,0.0,9238.230000000001,26.6,69.54,46.5,0.324,0.0,0.0,28.14,3.16,0.814,20.6,-16.1,67.1,79.8,12.05,-3.464,83.3
2022-12-02 19:00:59.999998+00:00,4993,0.21000000000000002,0.29000000000000004,0.0,8726,11489,0.59,662.4,0.012293387999999999,4655,36.1,0.31,8.620000000000001,-0.012293387999999999,9238.949999999999,26.6,69.54,46.5,0.317,0.0,0.0,28.14,3.15,0.811,20.6,-16.4,67.0,79.8,11.954000000000002,-3.2640000000000002,83.4
2022-12-02 19:01:59.999999+00:00,5001,0.16,0.35,0.0,8725,11493,0.64,663.1,0.048970356999999985,4650,36.1,0.38,8.98,-0.012090191999999998,9238.459999999995,26.6,69.54,46.6,0.316,0.0,0.0,28.16,3.15,0.814,20.6,-16.0,67.0,79.8,12.034,-3.327,83.4
2022-12-02 19:02:59.999999+00:00,5011,0.19,0.26,0.0,8726,11493,0.63,663.0,0.011280765000000002,4651,36.1,0.4,9.229999999999999,0.000403034,9238.18,26.6,69.54,46.6,0.316,0.0,0.0,28.14,3.16,0.814,20.6,-16.1,67.1,79.8,12.287,-3.093,83.4
2022-12-02 19:04:00+00:00,5003,0.2,0.32,0.0,8728,11496,0.59,663.4,0.035681082,4658,36.1,0.32999999999999996,9.77,0.000396373,9238.349999999999,26.6,69.54,46.5,0.32,0.09834710699999999,0.0,28.14,3.16,0.814,20.6,-15.9,67.1,80.0,12.248,-3.0959999999999996,83.5
2022-12-02 19:04:59.999999+00:00,5003,0.2,0.27,0.0,8734,11503,0.62,664.6,0.035091313000000006,4654,36.1,0.37,8.49,0.00038982099999999994,9237.76,26.6,69.55,46.6,0.316,0.096721535,0.0,28.16,3.15,0.81,20.6,-15.6,67.1,80.0,12.223,-3.08,83.5
2022-12-02 19:05:59.999999+00:00,4998,0.19,0.32999999999999996,0.0,8731,11500,0.62,664.3,0.046804679,4658,36.1,0.4,8.56,0.000383378,9237.62,26.6,69.54,46.6,0.319,-0.003224275,0.0,28.16,3.16,0.811,20.6,-15.6,67.1,80.1,12.026,-2.8559999999999994,83.5
2022-12-02 19:07:00+00:00,4994,0.16,0.38,0.0,8734,11502,0.71,664.2,0.04603104799999999,4651,36.1,0.4,8.780000000000001,0.000377041,9238.44,26.6,69.54,46.5,0.325,-0.003170981,0.0,28.16,3.15,0.81,20.6,-15.6,67.1,80.0,12.206,-2.6319999999999997,83.5
2022-12-02 19:07:59.999999+00:00,5006,0.25,0.29000000000000004,0.0,8734,11503,0.63,664.6,0.09444375799999997,4658,36.1,0.44,9.06,0.012664196999999999,9238.02,26.6,69.54,46.6,0.328,-0.003118568,0.0,28.17,3.15,0.81,20.6,-15.6,67.2,80.1,12.161,-2.7359999999999998,83.6
2022-12-02 19:08:59.999999+00:00,4996,0.14,0.29000000000000004,0.0,8731,11503,0.65,664.4,0.05600253899999999,4651,36.1,0.46,8.950000000000001,0.024748259999999998,9237.61,26.7,69.54,46.6,0.318,-0.003067022,0.0,28.16,3.15,0.811,20.6,-15.6,67.3,80.2,12.481,-2.554,83.6
2022-12-02 19:09:59.999999+00:00,4998,0.1,0.35,0.0,8734,11502,0.69,664.1,0.04278348900000001,4660,36.2,0.46,9.05,0.024339198,9238.51,26.7,69.54,46.6,0.318,-0.003016327,0.0,28.17,3.15,0.8120000000000002,20.6,-15.6,67.3,80.2,12.290999999999999,-2.5789999999999997,83.6
2022-12-02 19:10:59.999999+00:00,5004,0.17,0.36,0.0,8731,11498,0.6599999999999999,664.0,0.042076324,4653,36.2,0.41000000000000003,8.850000000000001,0.023936896999999995,9238.5,26.7,69.54,46.6,0.323,-0.002966471,0.0,28.17,3.16,0.815,20.6,-15.6,67.3,80.2,12.349,-2.5989999999999998,83.7
2022-12-02 19:12:00+00:00,4997,0.21000000000000002,0.3,0.0,8732,11499,0.62,663.7,0.05367423599999999,4656,36.2,0.4,10.950000000000001,0.023541246000000002,9238.66,26.7,69.54,46.6,0.323,-0.0029174379999999996,0.0,28.16,3.16,0.8120000000000002,20.6,-15.7,67.3,80.2,12.449,-2.639,83.7
