timeseries_name,n,tau,fnn_dim
Lab1_G1_N3,1439,3,4
Lab1_G2_Fн9,1439,3,5
Lab1_G2_Fc3,1439,3,7
Lab1_G3_Турбина_ГГ,1439,16,4
Lab1_G1_N1,1439,26,5
Lab1_G1_N2,1439,14,6
Lab1_G2_3F2,1439,3,5
Lab1_G1_T4ср,1439,51,5
Lab1_G3_T606,1439,24,9
Lab1_Qtg,1439,15,7
Lab1_G1_T607,1439,14,3
Lab1_G2_2F2,1439,2,6
Lab1_G2_VoГГ,1439,10,7
Lab1_G3_T600,1439,22,8
Lab1_G4_N1пр,1439,4,6
Lab1_Ttg,1439,66,3
Lab1_PposleNag,1439,2,7
Lab1_TposleNag,1439,2,3
Lab1_dev,1439,4,5
Lab1_G3_Pc2,1439,18,9
Lab1_G3_Коксование,1439,13,3
Lab1_TC_Ptgdg,1439,14,7
Lab1_dPmg,1439,5,3
Lab1_Hpol,1439,2,10
Lab1_TdoNag,1439,4,4
Lab1_G1_T1,1439,33,6
Lab1_G1_T600,1439,37,8
Lab1_G1_T638,1439,31,7
Lab1_G4_delta_T4PR,1439,28,5
Lab1_G4_delta_T4,1439,18,6
Lab1_TC_Tm,1439,54,9
