timeseries_name,n,garcia_dim,garcia_lags,method,status
TS,0,,,garcia_almeida,too_short
Lab1_G1_N3,1439,2,0;4,garcia_almeida,ok
Lab1_G2_Fн9,1439,1,0,garcia_almeida,ok
Lab1_G2_Fc3,1439,2,0;3,garcia_almeida,ok
Lab1_G3_Турбина_ГГ,1439,2,0;9,garcia_almeida,ok
Lab1_G1_N1,1439,2,0;4,garcia_almeida,ok
Lab1_G1_N2,1439,4,0;4;2;3,garcia_almeida,ok
Lab1_G2_3F2,1439,2,0;4,garcia_almeida,ok
Lab1_G1_T4ср,1439,6,0;2;4;3;5;8,garcia_almeida,ok
Lab1_G3_T606,1439,6,0;4;3;2;5;7,garcia_almeida,ok
Lab1_Qtg,1439,2,0;5,garcia_almeida,ok
Lab1_G1_T607,1439,2,0;2,garcia_almeida,ok
Lab1_G2_2F2,1439,2,0;5,garcia_almeida,ok
Lab1_G2_VoГГ,1439,4,0;4;3;2,garcia_almeida,ok
Lab1_G3_T600,1439,4,0;5;4;3,garcia_almeida,ok
Lab1_G4_N1пр,1439,4,0;4;3;5,garcia_almeida,ok
Lab1_Ttg,1439,1,0,garcia_almeida,ok
Lab1_PposleNag,1439,2,0;3,garcia_almeida,ok
Lab1_TposleNag,1439,2,0;6,garcia_almeida,ok
Lab1_dev,1439,2,0;4,garcia_almeida,ok
Lab1_G3_Pc2,1439,3,0;7;6,garcia_almeida,ok
Lab1_G3_Коксование,1439,1,0,garcia_almeida,ok
Lab1_TC_Ptgdg,1439,1,0,garcia_almeida,ok
Lab1_dPmg,1439,1,0,garcia_almeida,ok
Lab1_Hpol,1439,1,0,garcia_almeida,ok
Lab1_TdoNag,1439,2,0;3,garcia_almeida,ok
Lab1_G1_T1,1439,2,0;4,garcia_almeida,ok
Lab1_G1_T600,1439,1,0,garcia_almeida,ok
Lab1_G1_T638,1439,2,0;7,garcia_almeida,ok
Lab1_G4_delta_T4PR,1439,5,0;3;6;2;5,garcia_almeida,ok
Lab1_G4_delta_T4,1439,5,0;6;3;5;2,garcia_almeida,ok
Lab1_TC_Tm,1439,2,0;6,garcia_almeida,ok
