name,tau_acf,fnn_dim,uzal_tau,uzal_dim
Lab1_G1_N3,3,4,27,3
Lab1_G2_Fн9,3,5,8,4
Lab1_G2_Fc3,3,7,9,4
Lab1_G1_N1,26,5,98,4
Lab1_G1_N2,14,6,69,5
Lab1_G2_3F2,3,5,10,4
Lab1_G1_T4ср,51,5,70,5
Lab1_G3_T606,24,9,27,3
Lab1_Qtg,15,7,19,3
Lab1_G2_2F2,2,6,15,3
Lab1_G2_VoГГ,10,7,8,3
Lab1_G3_T600,22,8,51,3
Lab1_G4_N1пр,4,6,31,3
Lab1_Ttg,66,3,97,12
Lab1_PposleNag,2,7,76,4
Lab1_dev,4,5,9,4
Lab1_G3_Pc2,18,9,15,3
Lab1_TC_Ptgdg,14,7,38,5
Lab1_dPmg,5,3,88,9
Lab1_Hpol,2,10,95,5
Lab1_G1_T1,33,6,94,5
Lab1_G1_T600,37,8,41,7
Lab1_G1_T638,31,7,68,6
Lab1_G4_delta_T4PR,28,5,70,4
Lab1_G4_delta_T4,18,6,93,5
Lab1_TC_Tm,54,9,41,9
TS,,,,
Lab1_G3_Турбина_ГГ,16,4,,
Lab1_G1_T607,14,3,,
Lab1_TposleNag,2,3,,
Lab1_G3_Коксование,13,3,,
Lab1_TdoNag,4,4,,
