timeseries_name,n,target_dim,pecora_dim,pecora_lags,method,status
TS,0,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_G1_N3,1439,4,4,0;1;4;2,pecora_continuity_statistic,ok
Lab1_G2_Fн9,1439,5,5,0;3;1;2;5,pecora_continuity_statistic,ok
Lab1_G2_Fc3,1439,5,5,0;3;2;1;5,pecora_continuity_statistic,ok
Lab1_G3_Турбина_ГГ,1439,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_G1_N1,1439,5,5,0;17;8;4;2,pecora_continuity_statistic,ok
Lab1_G1_N2,1439,6,6,0;13;6;3;2;1,pecora_continuity_statistic,ok
Lab1_G2_3F2,1439,5,5,0;3;2;1;6,pecora_continuity_statistic,ok
Lab1_G1_T4ср,1439,6,6,0;17;7;4;2;1,pecora_continuity_statistic,ok
Lab1_G3_T606,1439,4,4,0;14;8;4,pecora_continuity_statistic,ok
Lab1_Qtg,1439,4,4,0;9;5;2,pecora_continuity_statistic,ok
Lab1_G1_T607,1439,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_G2_2F2,1439,4,4,0;2;1;5,pecora_continuity_statistic,ok
Lab1_G2_VoГГ,1439,4,4,0;1;5;3,pecora_continuity_statistic,ok
Lab1_G3_T600,1439,4,4,0;25;12;6,pecora_continuity_statistic,ok
Lab1_G4_N1пр,1439,4,4,0;4;2;1,pecora_continuity_statistic,ok
Lab1_Ttg,1439,13,13,0;4;2;1;3;6;5;20;12;9;8;11;10,pecora_continuity_statistic,ok
Lab1_PposleNag,1439,5,5,0;38;40;91;98,pecora_continuity_statistic,ok
Lab1_TposleNag,1439,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_dev,1439,5,5,0;1;4;3;2,pecora_continuity_statistic,ok
Lab1_G3_Pc2,1439,4,4,0;1;5;3,pecora_continuity_statistic,ok
Lab1_G3_Коксование,1439,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_TC_Ptgdg,1439,6,6,0;3;1;2;6;5,pecora_continuity_statistic,ok
Lab1_dPmg,1439,10,10,0;1;3;2;7;4;5;6;10;9,pecora_continuity_statistic,ok
Lab1_Hpol,1439,6,6,0;2;1;6;4;3,pecora_continuity_statistic,ok
Lab1_TdoNag,1439,,,,pecora_continuity_statistic,missing_uzal_dimension
Lab1_G1_T1,1439,5,5,0;14;4;2;1,pecora_continuity_statistic,ok
Lab1_G1_T600,1439,8,8,0;12;7;3;1;2;6;4,pecora_continuity_statistic,ok
Lab1_G1_T638,1439,8,8,0;14;7;3;1;2;5;4,pecora_continuity_statistic,ok
Lab1_G4_delta_T4PR,1439,6,6,0;14;7;4;2;1,pecora_continuity_statistic,ok
Lab1_G4_delta_T4,1439,6,6,0;16;9;4;2;1,pecora_continuity_statistic,ok
Lab1_TC_Tm,1439,10,10,0;17;9;5;3;1;2;4;7;8,pecora_continuity_statistic,ok
