timeseries_name,n,target_dim,pecora_dim,pecora_lags,method,status
Lab1_G1_N3,1439,4,4,0;14;13;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G2_Fн9,1439,5,5,0;13;11;12;72,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G2_Fc3,1439,7,7,0;14;13;21;11;12;82,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_N1,1439,5,5,0;15;36;25;21,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_N2,1439,6,6,0;16;36;25;21;18,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G2_3F2,1439,5,5,0;11;15;13;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_T4ср,1439,5,5,0;18;36;25;21,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G3_T606,1439,9,9,0;14;32;22;18;16;15;100;55,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_Qtg,1439,7,7,0;19;13;16;14;15;100,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G2_2F2,1439,6,6,0;11;18;14;13;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G2_VoГГ,1439,7,7,0;12;21;17;14;13;99,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G3_T600,1439,8,8,0;27;13;20;17;14;15;83,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G4_N1пр,1439,6,6,0;13;15;14;100;11,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_Ttg,1439,3,3,0;22;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_PposleNag,1439,7,7,0;31;12;14;13;100;86,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_dev,1439,5,5,0;12;11;14;13,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G3_Pc2,1439,9,9,0;11;12;14;13;100;70;42;81,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_TC_Ptgdg,1439,7,7,0;12;20;15;13;14;99,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_dPmg,1439,3,3,0;11;16,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_Hpol,1439,10,10,0;12;14;13;77;11;97;65;90;53,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_T1,1439,6,6,0;22;11;16;14;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_T600,1439,8,8,0;35;16;24;21;18;17;100,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_T638,1439,7,7,0;14;36;25;19;17;16,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G4_delta_T4PR,1439,5,5,0;14;31;22;18,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G4_delta_T4,1439,6,6,0;17;30;23;20;18,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_TC_Tm,1439,9,9,0;44;16;28;21;18;17;77;100,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G3_Турбина_ГГ,1439,4,4,0;15;12;13,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G1_T607,1439,3,3,0;15;24,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_TposleNag,1439,3,3,0;11;12,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_G3_Коксование,1439,3,3,0;11;13,pecora_continuity_statistic_acf_fnn_dim,ok
Lab1_TdoNag,1439,4,4,0;12;17;14,pecora_continuity_statistic_acf_fnn_dim,ok
