timeseries_name,n,pecuzal_dim,pecuzal_lags,pecuzal_cost,method,status
Lab1_G1_N3,1439,1,0,0.0,pecuzal,ok
Lab1_G2_Fн9,1439,2,0;2,-0.03840776874692499,pecuzal,ok
Lab1_G2_Fc3,1439,1,0,0.0,pecuzal,ok
Lab1_G3_Турбина_ГГ,1439,1,0,0.0,pecuzal,ok
Lab1_G1_N1,1439,2,0;107,-0.17105423810563025,pecuzal,ok
Lab1_G1_N2,1439,2,0;81,-0.5780475628314176,pecuzal,ok
Lab1_G2_3F2,1439,1,0,0.0,pecuzal,ok
Lab1_G1_T4ср,1439,5,0;76;99;117;140,-0.18551482575484152,pecuzal,ok
Lab1_G3_T606,1439,8,0;8;18;28;49;74;97;134,-0.2848645721403571,pecuzal,ok
Lab1_Qtg,1439,4,0;21;33;103,-0.16557749626211316,pecuzal,ok
Lab1_G1_T607,1439,2,0;104,-0.08444345505891449,pecuzal,ok
Lab1_G2_2F2,1439,3,0;2;57,-0.1411970359950338,pecuzal,ok
Lab1_G2_VoГГ,1439,1,0,0.0,pecuzal,ok
Lab1_G3_T600,1439,3,0;100;138,-0.07690765464007854,pecuzal,ok
Lab1_G4_N1пр,1439,2,0;124,-0.41054916571495087,pecuzal,ok
Lab1_Ttg,1439,24,0;2;4;7;8;10;12;14;20;24;34;36;44;47;55;57;59;66;94;100;108;127;138;142,-0.7615583142046958,pecuzal,ok
Lab1_PposleNag,1439,5,0;26;55;111;121,-0.8635101258433517,pecuzal,ok
Lab1_TposleNag,1439,1,0,0.0,pecuzal,ok
Lab1_dev,1439,1,0,0.0,pecuzal,ok
Lab1_G3_Pc2,1439,48,0;1;2;4;6;8;10;19;20;21;23;25;38;40;42;50;52;54;56;58;60;62;65;67;68;69;78;79;80;81;82;83;85;87;89;92;94;96;98;100;102;104;106;108;110;116;118;120,-0.9289078355296831,pecuzal,ok
Lab1_G3_Коксование,1439,2,0;68,-0.029209730411310586,pecuzal,ok
Lab1_TC_Ptgdg,1439,1,0,0.0,pecuzal,ok
Lab1_dPmg,1439,1,0,0.0,pecuzal,ok
Lab1_Hpol,1439,11,0;2;4;6;24;131;133;135;137;139;141,-1.7687395275255242,pecuzal,ok
Lab1_TdoNag,1439,2,0;10,-0.030465508543397413,pecuzal,ok
Lab1_G1_T1,1439,3,0;50;107,-0.34373892844707526,pecuzal,ok
Lab1_G1_T600,1439,9,0;38;53;57;62;78;100;120;127,-0.5635163795762075,pecuzal,ok
Lab1_G1_T638,1439,7,0;8;44;62;73;91;118,-0.4378793757698316,pecuzal,ok
Lab1_G4_delta_T4PR,1439,1,0,0.0,pecuzal,ok
Lab1_G4_delta_T4,1439,7,0;17;45;56;66;79;136,-0.3232991202387848,pecuzal,ok
Lab1_TC_Tm,1439,15,0;4;8;40;61;72;76;77;81;84;88;91;95;120;134,-0.96335129670245,pecuzal,ok
