timeseries_name,n,max_tau,acf_tau,ami_tau,selected_tau
TS,0,0,,,
Lab1_G1_N3,1439,143,5,3,3
Lab1_G2_Fн9,1439,143,3,3,3
Lab1_G2_Fc3,1439,143,3,3,3
Lab1_G3_Турбина_ГГ,1439,143,24,16,16
Lab1_G1_N1,1439,143,65,26,26
Lab1_G1_N2,1439,143,62,14,14
Lab1_G2_3F2,1439,143,8,3,3
Lab1_G1_T4ср,1439,143,59,51,51
Lab1_G3_T606,1439,143,49,24,24
Lab1_Qtg,1439,143,48,15,15
Lab1_G1_T607,1439,143,26,14,14
Lab1_G2_2F2,1439,143,2,2,2
Lab1_G2_VoГГ,1439,143,14,10,10
Lab1_G3_T600,1439,143,73,22,22
Lab1_G4_N1пр,1439,143,143,4,4
Lab1_Ttg,1439,143,142,66,66
Lab1_PposleNag,1439,143,143,2,2
Lab1_TposleNag,1439,143,9,2,2
Lab1_dev,1439,143,3,4,4
Lab1_G3_Pc2,1439,143,3,18,18
Lab1_G3_Коксование,1439,143,7,13,13
Lab1_TC_Ptgdg,1439,143,17,14,14
Lab1_dPmg,1439,143,7,5,5
Lab1_Hpol,1439,143,2,2,2
Lab1_TdoNag,1439,143,4,4,4
Lab1_G1_T1,1439,143,96,33,33
Lab1_G1_T600,1439,143,120,37,37
Lab1_G1_T638,1439,143,92,31,31
Lab1_G4_delta_T4PR,1439,143,94,28,28
Lab1_G4_delta_T4,1439,143,92,18,18
Lab1_TC_Tm,1439,143,104,54,54
