column,tau,dimension,dimension_method_type
Lab1_G1_N3,3,4,acf_fnn
Lab1_G2_Fн9,3,5,acf_fnn
Lab1_G2_Fc3,3,7,acf_fnn
Lab1_G1_N1,98,4,uzal_cost
Lab1_G1_N2,14,6,acf_fnn
Lab1_G2_3F2,3,5,acf_fnn
Lab1_G1_T4ср,51,5,acf_fnn
Lab1_G3_T606,24,9,acf_fnn
Lab1_Qtg,19,3,uzal_cost
Lab1_G2_2F2,2,6,acf_fnn
Lab1_G2_VoГГ,10,7,acf_fnn
Lab1_G3_T600,22,8,acf_fnn
Lab1_G4_N1пр,4,6,acf_fnn
Lab1_Ttg,97,12,uzal_cost
Lab1_PposleNag,60,5,uzal_cost
Lab1_dev,4,5,acf_fnn
Lab1_G3_Pc2,18,9,acf_fnn
Lab1_TC_Ptgdg,14,7,acf_fnn
Lab1_dPmg,76,9,uzal_cost
Lab1_Hpol,2,10,acf_fnn
Lab1_G1_T1,33,6,acf_fnn
Lab1_G1_T600,37,8,acf_fnn
Lab1_G1_T638,12,7,uzal_cost
Lab1_G4_delta_T4PR,28,5,acf_fnn
Lab1_G4_delta_T4,18,6,acf_fnn
Lab1_TC_Tm,54,9,acf_fnn
Lab1_G3_Турбина_ГГ,16,4,acf_fnn
Lab1_G1_T607,14,3,acf_fnn
Lab1_TposleNag,2,3,acf_fnn
Lab1_G3_Коксование,13,3,acf_fnn
Lab1_TdoNag,4,4,acf_fnn
