column,tau,dimension,uzal_cost
Lab1_G3_Lm,30,3,-3.3070770982586266
Lab1_Rc,80,11,-2.887808329988504
Lab1_Hpol,95,5,-2.505209253882212
Lab1_he,11,11,-2.355721461153465
Lab1_dev,9,4,-2.2147861150889416
Lab1_G3_T638,13,3,-1.947420214872112
Lab1_G3_T600,51,3,-1.9353786338748085
Lab1_PdoNag,79,5,-1.8263371918200968
Lab1_dPmg,82,9,-1.8082815200038265
Lab1_Pm_sm_N,95,10,-1.8050157857068725
Lab1_G3_T1002,11,3,-1.7660186687913235
Lab1_PposleNag,20,5,-1.754971557834994
Lab1_G2_Fв9,13,9,-1.6820377865444285
Lab1_G2_Fтк4,74,6,-1.62839638985738
Lab1_G2_3_77F2,81,6,-1.6281091091639788
Lab1_TC_Pm,63,6,-1.6250442133072278
Lab1_G2_Fтк9,19,6,-1.5929491814620491
Lab1_G2_Fтк2,33,5,-1.5442796824523088
Lab1_TC_Ptgdg,14,6,-1.531019895217009
Lab1_G3_V2,19,3,-1.5174781781593398
Lab1_G2_Fтк8,65,5,-1.516909698502271
Lab1_G3_dPf1,33,3,-1.4849445327269453
Lab1_G3_Pc3,33,3,-1.4737750607129747
Lab1_G2_Fc9,69,4,-1.4388682570470146
Lab1_G2_Fн9,20,4,-1.3823213608554163
Lab1_G3_Pc2,15,3,-1.3469424203660685
Lab1_G2_Fс8,8,4,-1.34381507304463
Lab1_G3_Pc1,7,3,-1.3122496217506168
Lab1_G3_T606,32,3,-1.2904190057141218
Lab1_G2_3F3,6,4,-1.2877378699225532
Lab1_G2_2F3,11,4,-1.2718430243981855
Lab1_G2_2F2,18,3,-1.2413742901758342
Lab1_G2_Fc3,9,4,-1.219884366168758
Lab1_G2_3F2,10,4,-1.2144956013998405
Lab1_G2_3F1,14,3,-1.206745212322667
Lab1_G2_Fцс,4,4,-1.204837909123784
Lab1_TC_P615,84,3,-1.1719946430893504
Lab1_G2_Fкпа,13,4,-1.1664962073809924
Lab1_G4_delta_P2PR,70,3,-1.0868500072193428
Lab1_G3_T1003,32,3,-1.0854254676468775
Lab1_G4_Р2пр,32,6,-0.9831312802192694
Lab1_G1_P2,37,4,-0.9711884430041016
Lab1_G3_Pm,1,3,-0.9697556205394566
Lab1_Ttg,97,12,-0.9675676589502258
Lab1_G3_V1,13,3,-0.9605775837763124
Lab1_G2_2F1,17,3,-0.958536348494206
Lab1_G2_F3,18,3,-0.9576328505360466
Lab1_TC_Tm,41,9,-0.9563857689251926
Lab1_PologenieTRK,32,3,-0.9313982573175568
Lab1_G1_T600,98,7,-0.890185824373814
Lab1_Ne,41,3,-0.8624949287246175
Lab1_G1_T638,68,6,-0.8563697154849162
Lab1_G2_Fc4,18,3,-0.8486167109187143
Lab1_G2_F2,15,3,-0.8451403137116554
Lab1_G2_Fc2,14,3,-0.8375880802512935
Lab1_G3_N3,18,3,-0.8014335331485914
Lab1_G1_T1002,26,6,-0.792167960294408
Lab1_G2_F1,19,3,-0.6376723177639796
Lab1_G2_VoСТ,1,3,-0.59090099555537
Lab1_G1_T606,94,5,-0.4159970679049789
Lab1_G1_T1003,100,3,-0.3457248368804491
Lab1_G4_delta_T4PR,69,4,-0.2954980894924239
Lab1_G4_T4пр,12,3,-0.292249099935266
Lab1_G4_delta_T4,93,5,-0.2736470331223148
Lab1_G1_T1,94,5,-0.2374218348300181
Lab1_G2_VoГГ,13,3,0.0046969518828021
Lab1_G4_N1пр,33,3,0.2284104398329503
Lab1_G1_T4ср,71,6,0.2530694603470517
Lab1_G4_T4,68,5,0.2613430624099776
Lab1_G1_N3,27,3,0.8379010033134172
Lab1_Qtg,32,3,0.929705215646782
Lab1_G4_N2,68,5,0.9946638114970529
Lab1_G1_N2,68,5,1.0028064981117082
Lab1_G1_N1,96,5,1.0270105198411923
