column,reason
Lab1_G1_T607,no_finite_uzal_cost
Lab1_G3_ЗО_СТ,no_finite_uzal_cost
Lab1_G3_КВД,no_finite_uzal_cost
Lab1_G3_КНД,no_finite_uzal_cost
Lab1_G3_Коксование,no_finite_uzal_cost
Lab1_G3_ПО_СТ,no_finite_uzal_cost
Lab1_G3_Турбина_ГГ,no_finite_uzal_cost
Lab1_Kp,no_finite_uzal_cost
Lab1_Rc,no_finite_uzal_cost
Lab1_TC_T607,no_finite_uzal_cost
Lab1_TC_dPvfKVOU,no_finite_uzal_cost
Lab1_TdoNag,no_finite_uzal_cost
Lab1_TposleNag,no_finite_uzal_cost
Lab1_hGPA,no_finite_uzal_cost
Lab1_q,no_finite_uzal_cost
