,column,tau,dimension,uzal_cost
0,Lab1_G3_Lm,30,3,-3.3051232928280974
1,Lab1_Rc,80,11,-2.8851129473304056
2,Lab1_Hpol,69,5,-2.501856475961825
3,Lab1_he,23,8,-2.348358934766261
4,Lab1_dev,9,4,-2.2167237181924886
5,Lab1_G3_T638,13,3,-1.9335328786291648
6,Lab1_G3_T600,20,3,-1.916387903956653
7,Lab1_PdoNag,79,5,-1.8234535127706448
8,Lab1_Pm_sm_N,96,10,-1.8075542701848613
9,Lab1_dPmg,88,9,-1.8072384763537956
10,Lab1_G3_T1002,11,3,-1.7745990347302203
11,Lab1_PposleNag,55,5,-1.7544088731418974
12,Lab1_G2_Fв9,5,9,-1.6801679056475811
13,Lab1_G2_3_77F2,75,6,-1.6282218879884751
14,Lab1_G2_Fтк4,74,6,-1.6277149198061918
15,Lab1_TC_Pm,61,6,-1.6255684831554484
16,Lab1_G2_Fтк9,11,6,-1.5936792231405112
17,Lab1_G2_Fтк2,33,5,-1.544568579326152
18,Lab1_TC_Ptgdg,38,5,-1.5290182085767376
19,Lab1_G2_Fтк8,7,5,-1.5266019074740047
20,Lab1_G3_V2,19,3,-1.515436678049772
21,Lab1_G3_dPf1,90,3,-1.4816576451359202
22,Lab1_G3_Pc3,35,3,-1.4786648255936057
23,Lab1_G2_Fc9,91,4,-1.434165878783282
24,Lab1_G2_Fн9,27,4,-1.3839671687737998
25,Lab1_G3_Pc2,15,3,-1.3469294812088295
26,Lab1_G2_Fс8,11,4,-1.3430627097637011
27,Lab1_G3_Pc1,7,3,-1.3126608331000955
28,Lab1_G3_T606,32,3,-1.2963288841166185
29,Lab1_G2_3F3,13,4,-1.2882230716386336
30,Lab1_G2_2F3,13,4,-1.2725338187834634
31,Lab1_G2_2F2,20,3,-1.242857334772984
32,Lab1_G2_Fc3,12,4,-1.2185839358355208
33,Lab1_G2_3F2,8,4,-1.2138068889103284
34,Lab1_G2_3F1,14,3,-1.207723528284666
35,Lab1_G2_Fцс,4,4,-1.2056467899314196
36,Lab1_TC_P615,24,3,-1.1743591578139574
37,Lab1_G2_Fкпа,13,4,-1.1678179233766368
38,Lab1_G3_T1003,32,3,-1.089473843218575
39,Lab1_G4_delta_P2PR,70,3,-1.0852406863900657
40,Lab1_G4_Р2пр,60,4,-1.0077580034389817
41,Lab1_G1_P2,30,4,-0.9730765337473836
42,Lab1_G3_Pm,1,3,-0.9684088982416243
43,Lab1_Ttg,78,12,-0.9678593199525396
44,Lab1_TC_Tm,25,9,-0.9619142481174646
45,Lab1_G2_2F1,17,3,-0.9586178512433184
46,Lab1_G3_V1,13,3,-0.9580236241911078
47,Lab1_G2_F3,18,3,-0.9562164585438988
48,Lab1_PologenieTRK,32,3,-0.934781462833682
49,Lab1_G1_T600,98,7,-0.8901745380965232
50,Lab1_Ne,32,3,-0.8630708325743722
51,Lab1_G1_T638,22,6,-0.857896109469611
52,Lab1_G2_Fc4,18,3,-0.8477596851573023
53,Lab1_G2_F2,15,3,-0.8444886561645781
54,Lab1_G2_Fc2,14,3,-0.8395227653744916
55,Lab1_G1_T1002,27,6,-0.803542649816944
56,Lab1_G3_N3,18,3,-0.802011875260465
57,Lab1_G2_F1,19,3,-0.6355428758285587
58,Lab1_G2_VoСТ,13,3,-0.5918440758057308
59,Lab1_G1_T606,70,5,-0.4180155922887997
60,Lab1_G1_T1003,100,3,-0.3491439117669522
61,Lab1_G4_T4пр,14,3,-0.302302655743711
62,Lab1_G4_delta_T4PR,69,4,-0.2945101976116011
63,Lab1_G4_delta_T4,92,5,-0.2673858885862619
64,Lab1_G1_T1,94,5,-0.2441448682657447
65,Lab1_G2_VoГГ,10,3,0.0035061546559889
66,Lab1_G4_N1пр,35,3,0.2264046313342834
67,Lab1_G1_T4ср,70,5,0.2514429825476218
68,Lab1_G4_T4,71,5,0.258007743640806
69,Lab1_G1_N3,27,3,0.8392463329972543
70,Lab1_Qtg,16,3,0.9305724066232952
71,Lab1_G1_N2,68,5,1.0103955616255726
72,Lab1_G4_N2,68,5,1.0125523266974354
73,Lab1_G1_N1,98,4,1.0263009281141415
