column,tau,dimension,reason
Lab1_G1_N3,1,3,non_finite_uzal_cost
Lab1_G1_N3,2,3,non_finite_uzal_cost
Lab1_G1_N3,3,3,non_finite_uzal_cost
Lab1_G1_N3,4,3,non_finite_uzal_cost
Lab1_G1_N3,5,3,non_finite_uzal_cost
Lab1_G1_N3,6,3,non_finite_uzal_cost
Lab1_G1_N3,7,3,non_finite_uzal_cost
Lab1_G1_N3,8,3,non_finite_uzal_cost
Lab1_G1_N3,9,3,non_finite_uzal_cost
Lab1_G1_N3,10,3,non_finite_uzal_cost
Lab1_G1_N3,11,3,non_finite_uzal_cost
Lab1_G1_N3,12,3,non_finite_uzal_cost
Lab1_G1_N3,14,3,non_finite_uzal_cost
Lab1_G1_N3,15,3,non_finite_uzal_cost
Lab1_G1_N3,16,3,non_finite_uzal_cost
Lab1_G1_N3,17,3,non_finite_uzal_cost
Lab1_G1_N3,18,3,non_finite_uzal_cost
Lab1_G1_N3,19,3,non_finite_uzal_cost
Lab1_G1_N3,20,3,non_finite_uzal_cost
Lab1_G1_N3,21,3,non_finite_uzal_cost
Lab1_G1_N3,22,3,non_finite_uzal_cost
Lab1_G1_N3,23,3,non_finite_uzal_cost
Lab1_G1_N3,24,3,non_finite_uzal_cost
Lab1_G1_N3,25,3,non_finite_uzal_cost
Lab1_G1_N3,26,3,non_finite_uzal_cost
Lab1_G1_N3,28,3,non_finite_uzal_cost
Lab1_G1_N3,29,3,non_finite_uzal_cost
Lab1_G1_N3,30,3,non_finite_uzal_cost
Lab1_G1_N3,31,3,non_finite_uzal_cost
Lab1_G1_N3,32,3,non_finite_uzal_cost
Lab1_G1_N3,33,3,non_finite_uzal_cost
Lab1_G1_N3,34,3,non_finite_uzal_cost
Lab1_G1_N3,35,3,non_finite_uzal_cost
Lab1_G1_N3,36,3,non_finite_uzal_cost
Lab1_G1_N3,37,3,non_finite_uzal_cost
Lab1_G1_N3,38,3,non_finite_uzal_cost
Lab1_G1_N3,39,3,non_finite_uzal_cost
Lab1_G1_N3,40,3,non_finite_uzal_cost
Lab1_G1_N3,41,3,non_finite_uzal_cost
Lab1_G1_N3,42,3,non_finite_uzal_cost
Lab1_G1_N3,43,3,non_finite_uzal_cost
Lab1_G1_N3,45,3,non_finite_uzal_cost
Lab1_G1_N3,46,3,non_finite_uzal_cost
Lab1_G1_N3,48,3,non_finite_uzal_cost
Lab1_G1_N3,49,3,non_finite_uzal_cost
Lab1_G1_N3,50,3,non_finite_uzal_cost
Lab1_G1_N3,51,3,non_finite_uzal_cost
Lab1_G1_N3,52,3,non_finite_uzal_cost
Lab1_G1_N3,53,3,non_finite_uzal_cost
Lab1_G1_N3,54,3,non_finite_uzal_cost
Lab1_G1_N3,57,3,non_finite_uzal_cost
Lab1_G1_N3,58,3,non_finite_uzal_cost
Lab1_G1_N3,59,3,non_finite_uzal_cost
Lab1_G1_N3,60,3,non_finite_uzal_cost
Lab1_G1_N3,61,3,non_finite_uzal_cost
Lab1_G1_N3,62,3,non_finite_uzal_cost
Lab1_G1_N3,63,3,non_finite_uzal_cost
Lab1_G1_N3,64,3,non_finite_uzal_cost
Lab1_G1_N3,66,3,non_finite_uzal_cost
Lab1_G1_N3,67,3,non_finite_uzal_cost
Lab1_G1_N3,68,3,non_finite_uzal_cost
Lab1_G1_N3,69,3,non_finite_uzal_cost
Lab1_G1_N3,70,3,non_finite_uzal_cost
Lab1_G1_N3,71,3,non_finite_uzal_cost
Lab1_G1_N3,72,3,non_finite_uzal_cost
Lab1_G1_N3,73,3,non_finite_uzal_cost
Lab1_G1_N3,74,3,non_finite_uzal_cost
Lab1_G1_N3,74,20,ArgumentError
Lab1_G1_N3,75,20,ArgumentError
Lab1_G1_N3,76,3,non_finite_uzal_cost
Lab1_G1_N3,76,20,ArgumentError
Lab1_G1_N3,77,20,ArgumentError
Lab1_G1_N3,78,3,non_finite_uzal_cost
Lab1_G1_N3,78,19,ArgumentError
Lab1_G1_N3,78,20,ArgumentError
