tau,m,uzal_cost
20,5,-1.7527067210675706
33,5,-1.7517329097088217
31,5,-1.7509152650949376
19,5,-1.74879234035065
37,5,-1.7471174856035896
26,5,-1.7469729177519453
42,5,-1.746380569045671
39,5,-1.744931832884072
40,5,-1.7448167002593473
38,5,-1.7446527659916038
21,5,-1.744319883102824
35,5,-1.7429709952826706
49,5,-1.7427639328395503
25,5,-1.7425847883367551
43,5,-1.7405255559324493
34,5,-1.7402884194126214
47,5,-1.7402525887378602
22,5,-1.7398123460963122
48,5,-1.739672331388584
45,5,-1.7380804791877953
10,5,-1.7353351610719285
13,5,-1.735010441365775
50,5,-1.7339695993654045
17,5,-1.7292864480193761
30,6,-1.7208691317676097
11,5,-1.7208058718372967
20,6,-1.7208001404404096
24,6,-1.720470604927024
33,6,-1.7197200871688745
32,6,-1.7196186090559364
19,6,-1.718818220749023
29,6,-1.7187238001278438
31,6,-1.7180465838945775
18,6,-1.715518287623308
27,6,-1.715309762343674
25,6,-1.7151671698350335
21,6,-1.7150045192941217
15,6,-1.7137152567810174
16,6,-1.7126262236718968
40,6,-1.7111314034539244
23,6,-1.710623183098357
14,6,-1.7100141315785842
42,6,-1.7093015187278418
26,6,-1.7091934907424917
44,6,-1.70904856351002
47,6,-1.7085244709054166
34,6,-1.7082441052412156
35,6,-1.708087505578166
39,6,-1.7076465370629714
12,6,-1.7076412687302998
37,6,-1.707508967171976
22,6,-1.7074727624037618
49,6,-1.7073321232266463
17,6,-1.7070476183693368
41,6,-1.706356572257543
13,6,-1.706032634278405
10,6,-1.705968396526016
48,6,-1.705884387439072
36,6,-1.7052491854718665
43,6,-1.7033211925801692
50,6,-1.702568402138238
46,6,-1.7019010907136765
45,6,-1.7014413088935485
38,6,-1.7009039494374405
11,6,-1.6975244217314174
9,6,-1.6948846576348324
8,6,-1.692661884630624
24,7,-1.6915879444771855
20,7,-1.690300023130737
29,7,-1.6902424195934045
16,7,-1.689709550248626
28,7,-1.689355103641967
21,7,-1.6889319507727232
30,7,-1.6877082649755022
19,7,-1.686853470387958
13,7,-1.6864219495077526
31,7,-1.6862593547014033
12,7,-1.6859792849046742
14,7,-1.685878033728401
35,7,-1.6856433575989411
15,7,-1.6850911820232448
32,7,-1.6847858017126929
18,7,-1.6846695475774214
33,7,-1.6836216989135517
40,7,-1.6826749990607135
34,7,-1.682330766350165
23,7,-1.6816426433529128
22,7,-1.6815965788571416
39,7,-1.6813260176394569
44,7,-1.6811149427826095
10,7,-1.6807340594087836
25,7,-1.6806528890101575
27,7,-1.6806333611926
37,7,-1.6806297283066651
42,7,-1.6801610854402242
7,6,-1.680124438023433
49,7,-1.6795918691872893
47,7,-1.6794704231400357
17,7,-1.6788517842639392
46,7,-1.6780779184055759
43,7,-1.677807784260638
48,7,-1.6775271699981937
36,7,-1.6770318744357022
50,7,-1.6768150876333703
11,7,-1.6766798800666882
26,7,-1.6759239022820611
7,5,-1.6758613445083588
38,7,-1.6736232662693524
41,7,-1.6723953905314208
45,7,-1.6718664284621383
9,7,-1.6712403605395576
8,7,-1.669522563222943
30,8,-1.6647168700800048
24,8,-1.6636866635791427
21,8,-1.6634078280370796
20,8,-1.6627379208894086
23,8,-1.6625502222334683
14,8,-1.6625144148580935
15,8,-1.6622783713315403
7,7,-1.6620485780045589
18,8,-1.6614839245471893
28,8,-1.6614098886321105
31,8,-1.6612864102417706
13,8,-1.6606481604490073
29,8,-1.6605038733278557
35,8,-1.6600241484225726
17,8,-1.6594961699935555
33,8,-1.658618777257388
19,8,-1.6582162423535944
37,8,-1.6576033696560935
16,8,-1.6573933763250894
22,8,-1.6572580784707807
12,8,-1.6571527981956815
25,8,-1.6570518855847265
38,8,-1.6569518418465823
8,8,-1.6566498112473556
49,8,-1.6555848728091755
32,8,-1.655534021990858
42,8,-1.6554845135548555
26,8,-1.6554566967970186
10,8,-1.6552938157159378
40,8,-1.6551642138291052
6,7,-1.654882534202888
11,8,-1.6547352286158166
34,8,-1.6538088174020649
39,8,-1.6533850625556332
27,8,-1.6522765860747344
50,8,-1.6521108082638156
43,8,-1.652010798315172
36,8,-1.6511841205310562
44,8,-1.6511825778481581
46,8,-1.6510151157286934
7,8,-1.6509770723052326
41,8,-1.6509436331229772
9,8,-1.65061875867006
45,8,-1.6495746641911984
48,8,-1.6494041269817499
47,8,-1.6457002471338913
5,6,-1.6380100481752278
5,7,-1.6351549021556937
5,8,-1.6330335580177537
6,8,-1.6314203178398707
4,7,-1.5867392906861002
4,8,-1.5825574210891984
3,8,-1.5718526978015024
4,6,-1.562163859173884
3,7,-1.5592240932613488
2,8,-1.478582558871107
2,7,-1.473251108678052
2,6,-1.4704534823420379
1,2,NaN
1,3,NaN
1,4,NaN
1,5,NaN
1,6,NaN
1,7,NaN
1,8,NaN
2,2,NaN
2,3,NaN
2,4,NaN
2,5,NaN
3,2,NaN
3,3,NaN
3,4,NaN
3,5,NaN
3,6,NaN
4,2,NaN
4,3,NaN
4,4,NaN
4,5,NaN
5,2,NaN
5,3,NaN
5,4,NaN
5,5,NaN
6,2,NaN
6,3,NaN
6,4,NaN
6,5,NaN
6,6,NaN
7,2,NaN
7,3,NaN
7,4,NaN
8,2,NaN
8,3,NaN
8,4,NaN
8,5,NaN
9,2,NaN
9,3,NaN
9,4,NaN
9,5,NaN
10,2,NaN
10,3,NaN
10,4,NaN
11,2,NaN
11,3,NaN
11,4,NaN
12,2,NaN
12,3,NaN
12,4,NaN
12,5,NaN
13,2,NaN
13,3,NaN
13,4,NaN
14,2,NaN
14,3,NaN
14,4,NaN
14,5,NaN
15,2,NaN
15,3,NaN
15,4,NaN
15,5,NaN
16,2,NaN
16,3,NaN
16,4,NaN
16,5,NaN
17,2,NaN
17,3,NaN
17,4,NaN
18,2,NaN
18,3,NaN
18,4,NaN
18,5,NaN
19,2,NaN
19,3,NaN
19,4,NaN
20,2,NaN
20,3,NaN
20,4,NaN
21,2,NaN
21,3,NaN
21,4,NaN
22,2,NaN
22,3,NaN
22,4,NaN
23,2,NaN
23,3,NaN
23,4,NaN
23,5,NaN
24,2,NaN
24,3,NaN
24,4,NaN
24,5,NaN
25,2,NaN
25,3,NaN
25,4,NaN
26,2,NaN
26,3,NaN
26,4,NaN
27,2,NaN
27,3,NaN
27,4,NaN
27,5,NaN
28,2,NaN
28,3,NaN
28,4,NaN
28,5,NaN
28,6,NaN
29,2,NaN
29,3,NaN
29,4,NaN
29,5,NaN
30,2,NaN
30,3,NaN
30,4,NaN
30,5,NaN
31,2,NaN
31,3,NaN
31,4,NaN
32,2,NaN
32,3,NaN
32,4,NaN
32,5,NaN
33,2,NaN
33,3,NaN
33,4,NaN
34,2,NaN
34,3,NaN
34,4,NaN
35,2,NaN
35,3,NaN
35,4,NaN
36,2,NaN
36,3,NaN
