column,tau,dimension,uzal_cost
Lab1_G1_N1,96,4,1.0223374272369081
Lab1_G1_N1,98,4,1.0263894612924254
Lab1_G1_N1,75,5,1.0324340510510392
Lab1_G1_N1,74,5,1.0329428501226834
Lab1_G1_N1,23,4,1.0332499190052906
Lab1_G1_N1,78,6,1.034283275290503
Lab1_G1_N1,95,5,1.0354186338969318
Lab1_G1_N1,93,5,1.03561238878662
Lab1_G1_N1,71,6,1.0358618480252046
Lab1_G1_N1,74,6,1.0360892485801196
Lab1_G1_N1,72,7,1.0376015070882398
Lab1_G1_N1,72,6,1.0380522862065489
Lab1_G1_N1,95,3,1.038082084827836
Lab1_G1_N1,79,4,1.0382398502807486
Lab1_G1_N1,74,4,1.0383796909197691
Lab1_G1_N1,15,6,1.039202443384681
Lab1_G1_N1,70,5,1.0398556320972034
Lab1_G1_N1,38,7,1.0400369966773015
Lab1_G1_N1,24,4,1.0405877125139404
Lab1_G1_N1,71,5,1.0408499231240815
Lab1_G1_N1,98,6,1.0409943516064815
Lab1_G1_N1,77,4,1.0415952749946022
Lab1_G1_N1,13,6,1.041597568028209
Lab1_G1_N1,95,4,1.042142827648041
Lab1_G1_N1,17,7,1.0425336483392946
Lab1_G1_N1,71,7,1.0428389947365697
Lab1_G1_N1,11,7,1.0428674006059304
Lab1_G1_N1,98,5,1.0433046215258222
Lab1_G1_N1,22,5,1.0434897799922411
Lab1_G1_N1,23,3,1.0434902645895623
Lab1_G1_N1,26,3,1.0436636590989474
Lab1_G1_N1,92,5,1.0438247783661092
Lab1_G1_N1,20,4,1.043911625746246
Lab1_G1_N1,78,5,1.0441564083244892
Lab1_G1_N1,96,3,1.0453509289675325
Lab1_G1_N1,17,6,1.0453802428657346
Lab1_G1_N1,97,6,1.0460214946663726
Lab1_G1_N1,92,6,1.0460405816464597
Lab1_G1_N1,96,6,1.0460990808231618
Lab1_G1_N1,77,5,1.046222800215869
Lab1_G1_N1,24,3,1.0462625304699726
Lab1_G1_N1,76,5,1.0463173006275548
Lab1_G1_N1,68,5,1.0463370906402578
Lab1_G1_N1,12,7,1.0465605533344626
Lab1_G1_N1,74,7,1.0467805735128628
Lab1_G1_N1,75,4,1.0475436926782058
Lab1_G1_N1,73,7,1.0476835094880594
Lab1_G1_N1,93,6,1.047696694932702
Lab1_G1_N1,29,6,1.0477575393814522
Lab1_G1_N1,39,7,1.04794098880527
Lab1_G1_N1,73,6,1.0487548027829123
Lab1_G1_N1,99,5,1.0488083901231464
Lab1_G1_N1,91,6,1.0488713140089043
Lab1_G1_N1,73,5,1.0488820309749622
Lab1_G1_N1,15,7,1.0489624208801946
Lab1_G1_N1,72,5,1.0490665998119648
Lab1_G1_N1,75,7,1.0493727353652407
Lab1_G1_N1,73,4,1.0494103805858486
Lab1_G1_N1,94,5,1.0494126765041094
Lab1_G1_N1,20,5,1.0496304527970766
Lab1_G1_N1,79,6,1.0499983529645818
Lab1_G1_N1,38,6,1.0503527798855683
Lab1_G1_N1,21,3,1.050374202316659
Lab1_G1_N1,13,7,1.0505021967366839
Lab1_G1_N1,26,5,1.0505534475576586
Lab1_G1_N1,90,5,1.0508503980482231
Lab1_G1_N1,20,3,1.050983307073452
Lab1_G1_N1,32,6,1.0509924897872374
Lab1_G1_N1,90,6,1.0510035631597319
