column,reason
Lab1_G2_Fнш,not_enough_data_or_constant
Lab1_G2_Fма,not_enough_data_or_constant
Lab1_G2_Fмн,not_enough_data_or_constant
Lab1_G2_Fств,not_enough_data_or_constant
Lab1_G3_Маслосистема,not_enough_data_or_constant
Lab1_Lmp_Txt_AO,not_enough_data_or_constant
Lab1_Lmp_Txt_BEAO,not_enough_data_or_constant
Lab1_Lmp_Txt_BK1,not_enough_data_or_constant
Lab1_Lmp_Txt_BK2,not_enough_data_or_constant
Lab1_TC_VKPGV,not_enough_data_or_constant
Lab1_TC_VPOS,not_enough_data_or_constant
Lab1_Tpg,not_enough_data_or_constant
Lab1_Kran_11,not_enough_data_or_constant
Lab1_Kran_10,not_enough_data_or_constant
Lab1_Kran_PZS,not_enough_data_or_constant
Lab1_VOD1,not_enough_data_or_constant
Lab1_VOD2,not_enough_data_or_constant
Lab1_Kran_12,not_enough_data_or_constant
Lab1_Kran_9,not_enough_data_or_constant
Lab1_U_Kran_GPA_A_OGK,not_enough_data_or_constant
Lab1_Kran_SK,not_enough_data_or_constant
Lab1_AVOM_AVOMD1,not_enough_data_or_constant
Lab1_AVOM_AVOMN1,not_enough_data_or_constant
Lab1_Kran_5,not_enough_data_or_constant
Lab1_Kran_2,not_enough_data_or_constant
Lab1_Kran_6,not_enough_data_or_constant
Lab1_U_Kran_GPA_A_APK,not_enough_data_or_constant
Lab1_Kran_1,not_enough_data_or_constant
Lab1_Kran_4,not_enough_data_or_constant
